y,snapshot,event,sitewide,discount
0,20180504183720,,0,
0,20180504184758,,0,
0,20180509060546,,0,
0,20180527142149,,0,
0,20180621113132,,0,
0,20180804024622,,0,
0,20180812062841,,0,
0,20181021045738,,0,
0,20181030132706,,0,
0,20181118021514,,0,
0,20181120043634,,0,
0,20181206052924,,0,
0,20190224173606,,0,
0,20190301130429,,0,
0,20190307072741,,0,
0,20190307202527,,0,
0,20190422180930,,0,
1,20190626140459,,0,30% off
0,20200224230312,,0,
0,20200228020750,,0,
0,20200311015224,,0,
0,20200518010837,,0,
0,20200527035916,,0,
0,20200527035948,,0,
0,20200814003253,,0,
0,20200901183842,,0,
0,20201001015639,,0,
0,20201026192341,,0,
0,20201101010724,,0,
0,20201111234951,,0,
1,20201128201059,Black Friday,1,
1,20210120042152,,0,up to 40% off
1,20210126090457,Outlet,0,up to 60% off
1,20210131054519,Outlet,0,up to 60% off
1,20210227055051,Summer/Winter Sale,0,
1,20210228104535,Summer/Winter Sale,0,
1,20210306052351,Summer/Winter Sale,0,
0,20210312060709,,0,
0,20210410055217,,0,
0,20210426151838,,0,
1,20210615140056,,0,20% off
1,20210624110838,,0,20% off
1,20210727154822,Summer/Winter Sale,0,up to 40% off
0,20210802210313,,0,
0,20210802210825,,0,
0,20210803090445,,0,
0,20210924220316,,0,
0,20210925123535,,0,
1,20211124140555,Summer/Winter Sale,0,20% off
1,20211201040106,Summer/Winter Sale,0,
1,20211203100653,Summer/Winter Sale,0,
1,20211205202255,Summer/Winter Sale,0,
1,20211210174759,Summer/Winter Sale,0,
1,20220110133539,Summer/Winter Sale,0,up to 40% off
1,20220122083958,Summer/Winter Sale,0,up to 40% off
1,20220123090759,Summer/Winter Sale,0,up to 40% off
1,20220126213054,Summer/Winter Sale,0,up to 40% off
1,20220216081258,Summer/Winter Sale,0,20% off
1,20220301172653,Summer/Winter Sale,0,up to 40% off
1,20220303123716,Summer/Winter Sale,0,up to 40% off
1,20220318070050,Summer/Winter Sale,0,30% off
1,20220320191625,Summer/Winter Sale,0,20% off
1,20220406215744,Summer/Winter Sale,0,
1,20220430103620,Summer/Winter Sale,0,30% off
1,20220507171221,Summer/Winter Sale,0,30% off
1,20220613034706,Summer/Winter Sale,0,30% off
1,20220616111315,Summer/Winter Sale,0,up to 30% off
1,20220616111317,Summer/Winter Sale,0,up to 30% off
1,20220626024005,Summer/Winter Sale,0,up to 30% off
1,20220626024006,Summer/Winter Sale,0,up to 30% off
1,20220626064531,Summer/Winter Sale,0,up to 30% off
1,20220626111728,Summer/Winter Sale,0,up to 30% off
1,20220702023948,Summer/Winter Sale,0,up to 30% off
1,20220707115909,Summer/Winter Sale,0,up to 30% off
1,20220712120651,Summer/Winter Sale,0,up to 30% off
1,20220804144809,Summer/Winter Sale,0,up to 40% off
1,20220818142452,Summer/Winter Sale,0,20% off
1,20220904171501,Summer/Winter Sale,0,
1,20221017230241,Summer/Winter Sale,0,
1,20221021032654,Summer/Winter Sale,0,
1,20221025081149,Summer/Winter Sale,0,
1,20221106183420,Summer/Winter Sale,0,
1,20230129065116,Summer/Winter Sale,0,up to 50% off
1,20230224054703,Summer/Winter Sale,0,up to 50% off
1,20230225015305,Summer/Winter Sale,0,up to 50% off
1,20230228035312,,0,up to 50% off
1,20230302053131,,0,up to 50% off
1,20230307124300,,0,20% off
0,20230315170149,,0,
0,20230316113830,,0,
0,20230322124346,,0,
0,20230406163959,,0,
0,20230416154440,,0,
0,20230420145307,,0,
0,20230529101744,,0,
0,20230601104306,,0,
0,20230601113938,,0,
0,20230606151531,,0,
1,20230822090954,End Of Season,0,up to 40% off
1,20230901231302,End Of Season,0,up to 40% off
1,20231019171953,,0,up to 50% off
1,20231025233124,,0,up to 40% off
1,20231027015941,,0,up to 40% off
0,20231030061116,,0,
0,20231030061117,,0,
1,20231113114506,,0,20% off
1,20231202222739,,0,30% off
1,20231209013744,,0,30% off
1,20240307191234,,0,up to 40% off
1,20240314212323,Flash Sale,0,up to 40% off
1,20240415060506,,0,30% off
1,20240415162959,,0,30% off
0,20240416233942,,0,
0,20240503200431,,0,
0,20240506034457,,0,
0,20240506113705,,0,
0,20240506144348,,0,
0,20240507011738,,0,
0,20240507172042,,0,
1,20240520035138,,0,30% off
1,20240520161635,,0,30% off
1,20240520203700,,0,30% off
1,20240522060130,,0,30% off
1,20240528144348,,0,
1,20240615113356,Flash Sale,0,up to 40% off
1,20240617174935,Flash Sale,0,up to 40% off
1,20240619162422,Flash Sale,0,up to 40% off
1,20240622100011,Flash Sale,0,up to 40% off
1,20240714063725,,0,up to 40% off
1,20240715224655,,0,up to 40% off
1,20240716184544,,0,up to 40% off
1,20240722180548,,0,up to 40% off
1,20240807213653,,0,up to 40% off
1,20240811162815,,0,up to 40% off
1,20240813032317,,0,up to 40% off
1,20240823082402,,0,up to 40% off
1,20240823082443,,0,up to 40% off
1,20240901085638,,0,up to 40% off
1,20240901091633,,0,up to 40% off
1,20240908233632,,0,20% off
1,20240913070338,,0,20% off
1,20240915110012,,0,20% off
1,20240922011621,,0,20% off
1,20240922012325,,0,20% off
1,20240924061254,,0,20% off
1,20241003194624,,0,30% off
1,20241004073219,,0,30% off
1,20241014084152,,0,30% off
1,20241113070848,,0,30% off
1,20241201205750,Cyber Monday,1,up to 50% off
1,20241216133444,,0,50% off
1,20241221020628,,0,50% off
